line,sentence_boundary_exists_after_this_line
[Verse 1: Harry],0
I got a heart and I got a soul,1
"Believe me, I will use them both",1
"We made a start, be it a false one I know",1
"Baby, I don't want to feel alone",1
,
[Pre-Chorus: Zayn],0
So kiss me where I lay down,0
My hands pressed to your cheeks,1
A long way from the playground,1
,
[Chorus: Harry],0
I have loved you since we were eighteen,0
Long before we both thought the same thing,1
To be loved and to be in love,1
"All I can do is say that these arms were made for holdin’ you, oh",1
I wanna love like you made me feel,0
When we were eighteen,1
,
[Verse 2: Niall & Liam],0
"We took a chance, God knows we've tried",0
"Yet all along, I knew we'd be fine",1
"So pour me a drink, oh love",1
Let's split the night wide open,0
And we'll see everything we can,0
"Living love in slow motion, motion, motion",1
[Pre-Chorus: Zayn],0
So kiss me where I lay down,0
My hands pressed to your cheeks,0
A long way from the playground,1
,
[Chorus: All & Niall],0
I have loved you since we were eighteen,0
Long before we both thought the same thing,1
To be loved and to be in love,1
All I can do is say that these arms were made for holding you,0
And I wanna love like you made me feel,0
When we were eighteen,1
When we were eighteen,1
"Oh Lord, when we were eighteen",1
,
[Bridge: Zayn],0
Kiss me where I lay down,0
My hands pressed to your cheeks,0
A long way from the playground,1
,
[Breakdown: Louis & Harry],0
I have loved you since we were eighteen,0
Long before we both thought the same thing,1
To be loved and to be in love,1
,
[Chorus: All & Harry],0
And all I can do is say that these arms were made for holding you,1
And I wanna love like you made me feel,0
When we were eighteen,1
I wanna love like you made me feel,0
When we were eighteen,1
I wanna love like you made me feel,0
When we were eighteen,1
